state,n,ga,pga,reward
P3_2nd_pen,27,0.0,0.06826914632035944,0.9317308536796406
P1_2nd_pen,32,0.125,0.10273474974939732,0.8972652502506027
P3_1st_pen,8,0.125,0.11113735191467271,0.8888626480853273
P2_2nd_pen,75,0.12,0.11213365223893018,0.8878663477610698
P3_3rd+_pen,128,0.171875,0.1621546603031794,0.8378453396968206
P1_1st_pen,95,0.16842105263157894,0.16344839129097488,0.8365516087090251
P2_1st_pen,48,0.16666666666666666,0.1773042073045281,0.8226957926954719
P1_3rd+_pen,12,0.16666666666666666,0.23220574417158502,0.767794255828415
P2_3rd+_pen,96,0.25,0.25014734029400326,0.7498526597059967
