n,cal_error,late_coef,late_se,late_sig,n_states_present,team,conference
217,0.0368391075134974,0.0220639699132922,0.3537128503478834,False,8,Programme_01,Conf_A
246,0.0578319926206588,0.5399694535783671,0.3079004647004266,False,8,Programme_02,Conf_B
251,0.0498043247040801,0.1522611522478079,0.4208784430369765,False,8,Programme_03,Conf_A
244,0.0143241605058272,-0.1022873470949164,0.3240609602336168,False,8,Programme_04,Conf_A
228,0.0309400123035678,0.2292470799400964,0.3705220233558943,False,8,Programme_05,Conf_A
246,0.0611757969832946,0.3247759256221496,0.3730169501100264,False,8,Programme_06,Conf_C
329,0.0125009953600208,0.1406312113816029,0.3115767423224302,False,8,Programme_07,Conf_C
273,0.0492787410434756,0.2728193244792264,0.3447069073320059,False,8,Programme_08,Conf_B
183,0.0247004495568023,-0.1626137412079681,0.3079820379406618,False,8,Programme_09,Conf_D
241,0.0469736974533954,-0.3118380162414684,0.3200561936284612,False,8,Programme_10,Conf_A
252,0.0418032129773362,-0.1960917263479153,0.2895106950041856,False,8,Programme_11,Conf_D
223,0.031933954028136,-0.0451182559527181,0.3027161408401543,False,8,Programme_12,Conf_D
303,0.0211967592686526,-0.011472082004915,0.3292203540754359,False,8,Programme_13,Conf_E
258,0.0479883017938155,-0.1885634817392299,0.3182244795497966,False,8,Programme_14,Conf_D
199,0.0852234306431946,-0.2484305554953809,0.377103316234366,False,8,Programme_15,Conf_D
341,0.028348969231579,0.0741075652979225,0.2473198879895545,False,8,Programme_16,Conf_E
197,0.0329835150315871,-0.1426466479971216,0.304662704371778,False,8,Programme_17,Conf_D
319,0.0089038517128797,-0.0820033246858338,0.3193029517883718,False,8,Programme_18,Conf_A
282,0.0230958592309321,0.3329139763305512,0.3562898962395464,False,8,Programme_19,Conf_F
279,0.0291537813260841,-0.027759013013292,0.3091059607493419,False,8,Programme_20,Conf_B
291,0.048096181191338,-0.0223733776573124,0.3300840085296602,False,8,Programme_21,Conf_C
208,0.0599813136039523,0.2697336041483208,0.305571598563508,False,8,Programme_22,Conf_A
197,0.0076246269491734,0.3476068444612974,0.3147628383239835,False,7,Programme_23,Conf_C
247,0.0319511053167365,-0.5182116686101743,0.3103295937345961,False,8,Programme_24,Conf_E
295,0.0135563733950336,-0.0759067604180577,0.3022035850754898,False,8,Programme_25,Conf_G
230,0.0617782684339523,-0.0687681568966727,0.2915946350908693,False,8,Programme_26,Conf_G
237,0.0487268497535241,-0.445404542716477,0.2984315007354826,False,8,Programme_27,Conf_B
203,0.019764153549383,0.0828497961144929,0.292349962844585,False,8,Programme_28,Conf_G
242,0.0229752521238072,0.5230733744036578,0.3022392507686871,False,8,Programme_29,Conf_E
227,0.0210855405510231,0.3835170396902848,0.2808933488869258,False,8,Programme_30,Conf_B
248,0.0210874015644573,-0.0584644910289874,0.3151075292303026,False,8,Programme_31,Conf_C
246,0.0538173275267927,0.4500215013378959,0.3851488789769007,False,8,Programme_32,Conf_A
309,0.0177006532132287,0.0324175437028076,0.3016423941306699,False,8,Programme_33,Conf_E
242,0.0354325728194742,0.5987387665049205,0.3202822662798497,False,8,Programme_34,Conf_C
212,0.0395652590469295,0.1774378733472655,0.3164943394155495,False,8,Programme_35,Conf_B
252,0.0558368235110887,0.6320929229113009,0.353488863805301,False,8,Programme_36,Conf_G
238,0.022259457577902,-0.4655881528573353,0.3129467609978856,False,8,Programme_37,Conf_E
263,0.0188701717188684,-0.0252305277948313,0.3264199477538799,False,8,Programme_38,Conf_D
311,0.0388526690278526,-0.1035525297963134,0.2737709633826874,False,8,Programme_39,Conf_C
256,0.0339240783958947,-0.0130065239789871,0.2918879014327207,False,8,Programme_40,Conf_D
280,0.0251344110732669,-0.223938899398001,0.2688003080509833,False,8,Programme_41,Conf_A
230,0.0284718851219382,0.3262094560487771,0.3528538281178151,False,8,Programme_42,Conf_D
232,0.0258655559095154,0.0446065681820005,0.3012579378176833,False,8,Programme_43,Conf_A
292,0.0167496805064271,0.5542084133594126,0.2970950499868988,False,8,Programme_44,Conf_A
228,0.0419683949510558,-0.1640765072736468,0.2895793664531396,False,8,Programme_45,Conf_E
219,0.0279772391673043,0.5971812959653353,0.3583990289599263,False,8,Programme_46,Conf_D
262,0.0573191327835698,0.4120786573616988,0.3917738964248606,False,8,Programme_47,Conf_F
241,0.0421962398065911,0.0994581904260596,0.2953323020555944,False,8,Programme_48,Conf_C
226,0.0142724071311884,0.3144629242584022,0.3516047002426786,False,8,Programme_49,Conf_C
236,0.0535582942519212,-0.1685486974467475,0.2583498425762048,False,8,Programme_50,Conf_C
244,0.0349011435503199,0.2563087450537673,0.2555231566137068,False,8,Programme_51,Conf_D
254,0.0423499726168526,0.2888220975480803,0.334754727280079,False,8,Programme_52,Conf_C
210,0.039017286255078,-0.2532238704244676,0.3339239356122589,False,8,Programme_53,Conf_E
304,0.0237941929229262,-0.0186665191049294,0.2911715214111062,False,8,Programme_54,Conf_G
246,0.0493160581355031,-0.3004329288195209,0.3198335699023562,False,8,Programme_55,Conf_D
