state,obs_ga,n,boot_mean,ci_lo,ci_hi,ci_width
lead_1_early,0.16666666666666666,66,0.1653618332014402,0.07692307692307693,0.2713564213564213,0.19443334443334437
lead_1_late,0.16216216216216217,37,0.1615238338637212,0.059670231729055265,0.2922002032520325,0.23252997152297722
lead_2+_early,0.13333333333333333,30,0.13223806674847213,0.0,0.2893728222996514,0.2893728222996514
lead_2+_late,0.11428571428571428,70,0.1116640865517184,0.052155172413793104,0.17321153846153844,0.12105636604774533
tied_early,0.15789473684210525,114,0.15962720186733564,0.0977579804045512,0.23148148148148148,0.13372350107693026
tied_late,0.2692307692307692,52,0.26650160215788293,0.1602203182374541,0.394443385436523,0.2342230671990689
trailing_early,0.09333333333333334,75,0.09423316204964106,0.03808055152394775,0.16433823529411754,0.12625768377016977
trailing_late,0.3246753246753247,77,0.3281164886925419,0.23010718789407314,0.4257819860561522,0.19567479816207906
